75,2013,San Bernardino,0,1,0,1,Lytle Fire
75,2013,Napa,0,0,0,0,Silverado Fire
73,2013,San Bernardino,0,0,0,0,Liveoak Fire
73,2013,Yuba,0,0,0,0,McGanney Fire
72,2013,Butte,0,0,0,0,Cedar Fire
70,2013,Lake,0,0,0,0,Double Fire
68,2013,Modoc,0,0,0,0,Rail Fire
64,2013,Ventura,0,0,0,0,Wheeler Fire
60,2013,Riverside,0,0,0,0,Tram Fire
60,2013,Riverside,0,0,0,0,Relay Fire
52,2013,Nevada,0,0,0,0,Tyler Fire
51,2013,San Luis Obispo,0,0,0,0,Toro Fire
50,2013,Lake,0,0,0,0,Bruner Fire
50,2013,Siskiyou,0,0,0,0,Cottonwood Fire
50,2013,Santa Clara,0,0,0,0,Uvas Fire
50,2013,Alameda,0,0,0,0,Grant Fire
50,2013,San Luis Obispo,0,0,0,0,Homestead Fire
46,2013,Calaveras,0,2,0,0,Bridges Fire
46,2013,Fresno,0,0,0,0,Sierra Fire
45,2013,Mendocino,0,0,0,0,Pratt Fire
44,2013,Ventura,0,0,0,0,Happy Camp Fire
43,2013,Shasta,0,0,0,0,Fiddler Fire
42,2013,Riverside,0,0,0,0,Viper Fire
41,2013,San Mateo,0,0,0,0,Chestnut Fire
40,2013,Santa Clara,0,0,0,0,Grant Fire
40,2013,Orange,0,0,0,0,Baker Fire
40,2013,San Diego,0,0,0,0,Valley Fire
40,2013,Riverside,0,0,0,0,Pierce Fire
40,2013,Siskiyou,0,0,0,0,Trout Fire
40,2013,Riverside,0,0,0,0,Heacock Fire
40,2013,Riverside,0,0,0,0,Palmyrita Fire
40,2013,Riverside,0,0,0,0,54 Fire
38,2013,El Dorado,0,0,0,0,Empire Fire
38,2013,Lake,0,0,0,0,Indian Fire
38,2013,Alameda,0,0,0,0,Fallon Fire
35,2013,Fresno,0,0,0,0,Michelle Fire
35,2013,San Luis Obispo,0,0,0,0,Cottontail Fire
34,2013,Shasta,0,0,0,0,Honey Fire
33,2013,Shasta,0,0,0,0,Dersch Fire
31,2013,Calaveras,0,0,0,0,Chuckwagon Fire
30,2013,Lake,0,0,0,0,Lakeshore Fire
30,2013,Lake,0,0,0,0,Lake Fire
30,2013,San Bernardino,0,0,0,0,Fawnskin Fire
28,2013,Sonoma,0,0,0,0,Sonoma-Lake-Napa Unit Lightning Fires
28,2013,Solano,0,0,0,0,Sonoma-Lake-Napa Unit Lightning Fires
28,2013,Lake,0,0,0,0,Sonoma-Lake-Napa Unit Lightning Fires
28,2013,Colusa,0,0,0,0,Sonoma-Lake-Napa Unit Lightning Fires
27,2013,Shasta,0,0,0,0,Cloverdale Fire
25,2013,San Diego,0,0,0,0,Flume Fire
25,2013,Lake,0,0,0,0,Mount Fire
25,2013,Riverside,0,0,0,0,Cherry Fire
23,2013,Lake,0,0,0,0,Dam Fire
15,2013,Mendocino,0,0,0,0,Refuse Fire
15,2013,Riverside,0,0,0,0,Gilman Fire
15,2013,Madera,0,0,0,0,Ranger Fire
0,2013,Humboldt,0,0,0,0,Orleans Complex
0,2013,Riverside,0,0,0,0,Hathaway Fire
97717,2014,El Dorado,0,12,0,80,King Fire
50042,2014,Siskiyou,0,0,0,0,July Complex
39736,2014,Shasta,0,0,0,0,Bald Fire
35302,2014,Siskiyou,0,0,0,0,Oregon Gulch Fire (part of the Beaver Complex)
32496,2014,Siskiyou,0,0,0,0,Beaver Fire
32416,2014,Shasta,0,11,0,21,Eiler Fire
14416,2014,San Diego,0,0,0,0,Pulgas Fire
13838,2014,Madera,0,0,0,0,French Fire
13153,2014,Modoc,0,7,0,6,Day Fire
12661,2014,Shasta,0,21,0,20,Bully Fire
12536,2014,Mendocino,0,15,0,0,Lodge Lightning Complex
6488,2014,Yolo,0,5,0,0,Monticello Fire
6258,2014,Shasta,0,0,0,0,Coffee Fire
5503,2014,Siskiyou,0,0,0,0,Little Deer Fire
5367,2014,San Diego,0,0,0,0,Tomahawk Fire
4840,2014,Monterey,0,0,0,0,Stoney Fire
4772,2014,Mariposa,0,0,0,0,Meadow Fire
4689,2014,Mariposa,0,0,0,0,El Portal Fire
4300,2014,Napa,0,4,0,9,Butts Fire
4300,2014,Lake,0,4,0,9,Butts Fire
4240,2014,Amador,0,2,0,67,Sand Fire
4240,2014,El Dorado,0,2,0,67,Sand Fire
4045,2014,Kern,0,0,0,0,Way Fire
3895,2014,Kern,0,0,0,0,Shirley Fire
2143,2014,San Bernardino,0,3,1,0,Etiwanda Fire
1995,2014,San Diego,0,3,0,40,Cocos Fire
1952,2014,Los Angeles,0,0,0,0,Colby Fire
1680,2014,Kern,0,0,0,0,Nicolls Fire 
1651,2014,Modoc,0,0,0,0,Modoc Lightning Complex
1548,2014,San Diego,0,3,0,0,Bernardo Fire
1469,2014,Modoc,0,0,0,0,Gulch Fire
1457,2014,San Diego,0,0,0,0,San Mateo Fire
1375,2014,Shasta,0,4,0,4,Gulch Fire
1080,2014,Mariposa,0,0,0,0,Dark Hole Fire
968,2014,Orange,0,0,0,0,Silverado Fire
865,2014,Tehama,0,0,0,0,Campbell Fire
677,2014,Mariposa,0,9,,3,Hunters Fire
632,2014,Santa Barbara,0,0,0,0,Miguelito Fire
612,2014,Madera,0,3,,47,Junction Fire
600,2014,San Diego,0,0,0,0,Poinsettia Fire
580,2014,Trinity,0,2,,1,Oregon Fire
516,2014,Siskiyou,0,1,7,165,Boles Fire
487,2014,Tuolumne,0,0,0,0,59 Fire
459,2014,Placer,0,2,0,10,Applegate Fire
403,2014,Mendocino,0,3,0,11,Black Fire
400,2014,Monterey,0,0,0,0,Encinal Fire
389,2014,Butte,0,4,0,0,Web Fire
380,2014,San Diego,0,0,0,0,Highway Fire
350,2014,Riverside,0,0,0,0,Pierce Fire
333,2014,Humboldt,0,0,0,0,Red Fire
320,2014,Madera,0,4,2,69,Courtney Fire
311,2014,Mariposa,0,0,0,0,Dog Rock Fire
300,2014,Mariposa,0,3,0,0,Bridge Fire
300,2014,Merced,0,0,0,0,Gun Club Fire
274,2014,Los Angeles,0,0,0,0,Tecolote Fire
269,2014,Tuolumne,0,0,0,0,Hetch Hetchy Fire
247,2014,Nevada,0,0,0,0,Dog Bar Fire
225,2014,Tehama,0,0,0,0,Tehama Fire
217,2014,San Diego,0,4,0,3,Banner Fire
210,2014,Humboldt,0,0,0,0,Bald Hill 3 Fire
190,2014,Los Angeles,0,0,0,0,Shoemaker Fire
175,2014,Lake,0,0,0,0,Indian Fire
143,2014,Shasta,0,0,0,0,Dry Fire
130,2014,Mariposa,0,1,0,0,Haigh Fire
125,2014,Santa Clara,0,0,0,0,Curie Fire
125,2014,San Diego,0,0,0,0,Gun Fire
120,2014,Calaveras,0,0,0,0,Reed Fire
120,2014,Placer,0,0,0,0,Brewer Fire
113,2014,Inyo,0,0,0,0,Bridges Fire
106,2014,Fresno,0,0,0,0,Lake Fire
105,2014,San Diego,0,0,0,0,River Fire
101,2014,Modoc,0,0,0,0,Little Fire
100,2014,Lake,0,0,0,0,Saratoga Fire
100,2014,Riverside,0,0,0,0,Interstate Fire
94,2014,El Dorado,0,0,0,0,Irene Fire
90,2014,Mariposa,0,0,0,0,Valley Fire
85,2014,Calaveras,0,1,0,1,Oak Fire
84,2014,Nevada,0,0,0,0,Boca Fire
80,2014,Santa Clara,0,0,0,0,Casa Fire
80,2014,Contra Costa,0,0,0,0,Marsh Fire
79,2014,Mariposa,0,0,0,0,Montgomery Fire
78,2014,Riverside,0,0,0,0,Sabina Fire
75,2014,Shasta,0,0,0,0,Cassel Fire
75,2014,Monterey,0,0,0,0,San Lucas Fire
72,2014,Butte,0,0,0,0,Wildlife Fire
70,2014,Tuolumne,0,0,0,0,Jackson Fire
70,2014,Kern,0,0,0,0,Ranch Fire
70,2014,Solano,0,0,0,0,Norman Fire
65,2014,Inyo,0,0,0,0,June Fire
62,2014,Mendocino,0,0,0,0,Nelson Fire
60,2014,Butte,0,0,0,0,Honcut Fire
57,2014,Riverside,0,0,0,0,Van Buren Fire
56,2014,San Diego,0,0,0,0,Freeway Fire 
50,2014,Shasta,0,0,0,0,Fiddler Fire
48,2014,San Bernardino,0,0,0,0,Bane Fire
47,2014,San Luis Obispo,0,0,0,0,Interlake Fire
40,2014,Fresno,0,4,0,1,Morgan Fire
38,2014,Nevada,0,0,0,0,Hutto Fire
37,2014,Humboldt,0,0,0,0,McClellan Fire
37,2014,Stanislaus,0,0,0,0,Lake Fire
31,2014,Riverside,0,0,0,0,Bogart Fire
30,2014,Siskiyou,0,0,0,0,Siskiyou County Lightning Fires
30,2014,El Dorado,0,0,0,0,Bible Fire
29,2014,San Diego,0,0,0,0,Jacumba Fire
27,2014,Napa,0,0,0,0,Stage Coach Fire
25,2014,Ventura,0,0,0,0,Foothill Fire 
25,2014,Shasta,0,0,0,0,Leopard Fire
25,2014,Fresno,0,0,0,0,Hall Fire
20,2014,El Dorado,0,0,0,0,Cascade Fire
20,2014,San Diego,0,0,0,0,Border Fire
18,2014,Humboldt,0,0,0,0,Bridge Fire
15,2014,Trinity,0,0,0,0,West Fire
14,2014,Placer,0,0,0,0,Iowa Fire
14,2014,Riverside,0,0,0,0,Santa Fire
10,2014,Madera,0,0,0,0,Pines Fire
6,2014,Napa,0,0,0,0,South Napa Earthquake
0,2014,Siskiyou,0,0,0,0,Happy Camp Complex
151623,2015,Fresno,0,0,0,0,Rough Fire 
77081,2015,Trinity,0,0,0,0,River Complex
69438,2015,Lake,0,0,8,96,Rocky Fire
36503,2015,Trinity,0,0,0,0,Fork Complex
31359,2015,San Bernardino,0,0,0,0,Lake Fire
30361,2015,Del Norte,0,0,0,0,Gasquet Complex
29416,2015,Trinity,0,0,0,0,South Complex
25118,2015,Lake,0,0,0,27,Jerusalem Fire
